epoch,train_loss,train_acc,val_acc
1,0.192500,0.945401,0.974013
2,0.070117,0.978562,0.971975
3,0.043820,0.985321,0.974268
4,0.032164,0.990284,0.971975
5,0.026648,0.991974,0.978089
6,0.030252,0.990178,0.980382
7,0.017364,0.994508,0.981656
8,0.011024,0.997043,0.982420
9,0.009486,0.997571,0.984204
10,0.008039,0.997571,0.983185
11,0.007012,0.998205,0.982420
12,0.007314,0.997782,0.981401
13,0.005269,0.998627,0.984968
14,0.005870,0.998416,0.984204
15,0.003892,0.998838,0.984968
16,0.003523,0.998944,0.984459
17,0.001587,0.999894,0.984713
18,0.001731,0.999894,0.987006
19,0.001447,0.999578,0.986242
20,0.001872,0.999578,0.985478
21,0.001398,0.999789,0.985223
22,0.001453,0.999683,0.985223
23,0.002050,0.999578,0.986497
24,0.001162,0.999894,0.985987
25,0.001799,0.999155,0.985987
26,0.000937,1.000000,0.986242
27,0.001523,0.999578,0.985987
28,0.001028,0.999894,0.987006
29,0.001329,0.999789,0.987006
30,0.001336,0.999894,0.985987
