epoch,train_loss,train_acc,val_acc
1,0.208119,0.934840,0.966624
2,0.065908,0.979829,0.975032
3,0.045522,0.986060,0.967134
4,0.046755,0.984053,0.973503
5,0.037645,0.989862,0.974013
6,0.021624,0.993347,0.974522
7,0.019917,0.993241,0.975541
8,0.012765,0.995881,0.980382
9,0.011369,0.996409,0.976815
10,0.012665,0.995459,0.980892
11,0.008220,0.997782,0.983439
12,0.003976,0.999050,0.983949
13,0.003739,0.999261,0.983694
14,0.003004,0.999366,0.983439
15,0.003808,0.999050,0.983439
16,0.003718,0.998944,0.985478
17,0.003840,0.999155,0.985732
18,0.001680,0.999894,0.984459
19,0.001869,0.999472,0.986497
20,0.001507,0.999578,0.985732
21,0.002728,0.999366,0.984459
22,0.001238,0.999789,0.985478
23,0.002005,0.999578,0.985223
24,0.001541,0.999683,0.984968
25,0.001583,0.999683,0.985478
26,0.001360,0.999578,0.985478
27,0.001546,0.999789,0.985478
28,0.000998,1.000000,0.986497
29,0.001630,0.999683,0.985987
30,0.001348,0.999789,0.985987
