epoch,train_loss,train_acc,val_acc
1,0.269011,0.920583,0.921529
2,0.167916,0.947091,0.942930
3,0.108560,0.963882,0.953885
4,0.090683,0.970958,0.965860
5,0.060779,0.980991,0.963822
6,0.067368,0.978878,0.961529
7,0.042365,0.987116,0.969172
8,0.047606,0.986060,0.962803
9,0.031465,0.990495,0.972484
10,0.026908,0.990918,0.963822
11,0.020396,0.993980,0.968153
12,0.018246,0.993664,0.967389
13,0.017615,0.993664,0.973503
14,0.013110,0.996832,0.975796
15,0.009656,0.997043,0.978344
16,0.007711,0.997254,0.977070
17,0.006715,0.997782,0.978089
18,0.006199,0.998310,0.978854
19,0.005398,0.998627,0.978599
20,0.004088,0.999050,0.978344
21,0.003077,0.999366,0.979873
22,0.003332,0.998944,0.978854
23,0.004361,0.999155,0.978344
24,0.002994,0.998944,0.979873
25,0.004212,0.998733,0.979108
26,0.002101,0.999894,0.980892
27,0.002971,0.998944,0.978854
28,0.002589,0.999683,0.979618
29,0.002315,0.999683,0.980127
30,0.003146,0.999050,0.980127
