epoch,train_loss,train_acc,val_acc
1,0.285081,0.909600,0.934013
2,0.139175,0.957757,0.952866
3,0.096934,0.969163,0.955414
4,0.106994,0.965994,0.954650
5,0.086478,0.973070,0.956688
6,0.054697,0.981096,0.960764
7,0.047518,0.984898,0.960510
8,0.039648,0.987644,0.968662
9,0.028323,0.990390,0.972739
10,0.025754,0.992079,0.961274
11,0.023734,0.992396,0.975541
12,0.015353,0.995036,0.971975
13,0.015481,0.995248,0.972229
14,0.012468,0.995881,0.976306
15,0.010055,0.997149,0.974777
16,0.009511,0.996937,0.976306
17,0.006813,0.998627,0.978089
18,0.005385,0.998627,0.978854
19,0.004369,0.999050,0.979618
20,0.003670,0.999155,0.980637
21,0.004776,0.998838,0.979363
22,0.002900,0.999155,0.979873
23,0.004190,0.999155,0.980892
24,0.003841,0.999261,0.981146
25,0.003263,0.999155,0.980637
26,0.003244,0.999261,0.981146
27,0.002904,0.999050,0.981911
28,0.001802,0.999683,0.980892
29,0.002229,0.999366,0.981656
30,0.001881,0.999894,0.980127
