epoch,train_loss_total,train_loss_kd,train_loss_hard,train_acc,val_acc
1,1.547645,2.054521,0.364934,0.891013,0.896306
2,0.749761,1.004718,0.154862,0.954905,0.957452
3,0.580892,0.782878,0.109591,0.968001,0.966624
4,0.468895,0.633854,0.083988,0.974020,0.965350
5,0.411501,0.558898,0.067573,0.979618,0.970701
6,0.349144,0.474128,0.057515,0.981413,0.976051
7,0.330285,0.450797,0.049091,0.985321,0.974777
8,0.286939,0.393634,0.037981,0.989017,0.972739
9,0.275563,0.378483,0.035416,0.989756,0.976051
10,0.243175,0.334176,0.030838,0.991657,0.978089
11,0.232675,0.320067,0.028760,0.991868,0.979108
12,0.214737,0.296185,0.024690,0.994086,0.979108
13,0.206060,0.283260,0.025928,0.992607,0.979363
14,0.201871,0.279096,0.021680,0.994403,0.979618
15,0.189360,0.260789,0.022693,0.994403,0.978854
16,0.186786,0.257856,0.020954,0.995459,0.979618
17,0.177443,0.244661,0.020602,0.994508,0.980637
18,0.164636,0.226937,0.019267,0.995670,0.981401
19,0.165076,0.228255,0.017657,0.996515,0.982166
20,0.159068,0.220142,0.016563,0.997043,0.982420
21,0.157773,0.217450,0.018525,0.996304,0.981146
22,0.147928,0.204054,0.016967,0.996304,0.981146
23,0.149330,0.206051,0.016979,0.996726,0.982675
24,0.145158,0.200579,0.015843,0.997360,0.982930
25,0.145225,0.200721,0.015734,0.997043,0.981911
26,0.141201,0.194601,0.016602,0.996515,0.982166
27,0.141936,0.195718,0.016445,0.996515,0.982675
28,0.138995,0.191299,0.016951,0.996515,0.982930
29,0.139559,0.192369,0.016335,0.996515,0.982930
30,0.138267,0.191034,0.015145,0.996937,0.981911
