filename,true_label,teacher_pred,kd_pred,baseline_pred,teacher_correct,kd_correct,baseline_correct,js_teacher_kd,js_teacher_baseline,spearman_teacher_kd,spearman_teacher_baseline
cassette_player_0001.npz,2,2,2,2,1,1,1,0.06462277692080684,0.08503113311406153,0.6303061224489795,0.4256122448979591
cassette_player_0002.npz,2,2,2,2,1,1,1,0.07930390526349317,0.10821738843963816,0.8763265306122447,0.7673469387755102
cassette_player_0003.npz,2,2,2,2,1,1,1,0.08374362194528673,0.14014286446975083,0.8387755102040816,0.5548979591836734
cassette_player_0004.npz,2,2,2,2,1,1,1,0.09227585149731085,0.10568885823289008,0.9575510204081632,0.9581632653061224
cassette_player_0005.npz,2,2,2,2,1,1,1,0.09330618366132087,0.09027222756697623,0.8320408163265306,0.8655102040816326
cassette_player_0006.npz,2,2,2,2,1,1,1,0.07730329177853874,0.13539897905491494,0.9108163265306121,0.7391836734693876
cassette_player_0007.npz,2,2,2,2,1,1,1,0.1315491486753835,0.09053534406581983,0.8666326530612245,0.9233673469387754
cassette_player_0008.npz,2,2,2,2,1,1,1,0.0876348756735004,0.12394726978935561,0.9441836734693877,0.8742857142857142
cassette_player_0009.npz,2,2,2,2,1,1,1,0.06676594257262342,0.0826096878891128,0.8544897959183672,0.8626530612244897
cassette_player_0010.npz,2,2,2,2,1,1,1,0.08940787199466192,0.18789033363659852,0.8429591836734692,0.5695918367346938
cassette_player_0011.npz,2,2,2,2,1,1,1,0.1547305900085505,0.18674148955396866,0.8806846361036003,0.8046938775510203
cassette_player_0012.npz,2,2,7,7,1,0,0,0.23886023272154053,0.21226868997910378,0.6437867012341427,0.5668793244002265
cassette_player_0013.npz,2,2,2,2,1,1,1,0.11960654565396214,0.10947002878998535,0.9077596974127987,0.9193882570914389
cassette_player_0014.npz,2,2,2,2,1,1,1,0.13270666271372505,0.13056883998269522,0.9062244897959182,0.9228492751391928
cassette_player_0015.npz,2,2,2,2,1,1,1,0.09265919783282456,0.1134786574228753,0.9228571428571427,0.8430612244897958
cassette_player_0016.npz,2,2,2,2,1,1,1,0.17624545877181336,0.21722183510881504,0.8170282439623412,0.7767424574925456
cassette_player_0017.npz,2,2,2,2,1,1,1,0.09742185876996645,0.10192263274565296,0.4641836734693877,0.4721428571428571
cassette_player_0018.npz,2,2,2,2,1,1,1,0.11981769023646836,0.1488409426574088,0.8324489795918366,0.8290816326530611
cassette_player_0019.npz,2,2,2,2,1,1,1,0.0810214171653067,0.08713876646827134,0.6845918367346937,0.6331632653061223
cassette_player_0020.npz,2,2,2,2,1,1,1,0.09754505498078986,0.09292148729105702,0.8320408163265306,0.8527258351202041
cassette_player_0021.npz,2,2,2,2,1,1,1,0.11649522705199009,0.11902972576900829,0.9140816326530612,0.8053061224489795
cassette_player_0022.npz,2,2,2,2,1,1,1,0.10713678946240275,0.12117544345278874,0.7433673469387754,0.7176530612244897
cassette_player_0023.npz,2,2,2,2,1,1,1,0.12031667219650037,0.09600054677292859,0.8872448979591836,0.9457142857142855
cassette_player_0024.npz,2,2,2,2,1,1,1,0.12347603348557726,0.11258383682090375,0.5152040816326531,0.5256122448979592
cassette_player_0025.npz,2,2,2,2,1,1,1,0.09398083284158674,0.13289015192153594,0.7305102040816325,0.7423469387755102
cassette_player_0026.npz,2,2,2,2,1,1,1,0.1300811312325643,0.16596168531347835,0.8833673469387754,0.8197959183673469
cassette_player_0027.npz,2,2,2,2,1,1,1,0.1294281071977838,0.1587071743658205,0.7276530612244898,0.590204081632653
cassette_player_0028.npz,2,2,2,2,1,1,1,0.08209518776072955,0.10650384725935966,0.9815306122448978,0.9601020408163264
cassette_player_0029.npz,2,2,2,2,1,1,1,0.13112689374944558,0.11906335706921596,0.6137755102040816,0.6987755102040816
cassette_player_0030.npz,2,2,2,2,1,1,1,0.17969679432192792,0.24696401084827144,0.4672448979591836,0.08132653061224489
cassette_player_0031.npz,2,2,2,2,1,1,1,0.11088369613337942,0.10708923800519737,0.898877551020408,0.9334693877551019
cassette_player_0032.npz,2,2,2,2,1,1,1,0.08188032027263648,0.11470797704718698,0.9363265306122448,0.9012244897959184
cassette_player_0033.npz,2,2,2,2,1,1,1,0.057752731186767714,0.0823311576625219,0.9805102040816326,0.960204081632653
cassette_player_0034.npz,2,2,2,2,1,1,1,0.12691080233771673,0.12930641619830585,0.925808760816406,0.9219308140669543
cassette_player_0035.npz,2,2,2,2,1,1,1,0.10469825716576253,0.10374520116252703,0.9453061224489796,0.9511224489795919
cassette_player_0036.npz,2,2,7,7,1,0,0,0.32319742595086604,0.30755012044208474,0.4335320355281106,0.5316949996520686
cassette_player_0037.npz,2,2,2,2,1,1,1,0.08857747999015274,0.08625204435220267,0.921938775510204,0.9201020408163264
cassette_player_0038.npz,2,2,2,2,1,1,1,0.0873240819151238,0.08287213677897069,0.7497959183673468,0.8410204081632652
cassette_player_0039.npz,2,2,2,2,1,1,1,0.10026385274396363,0.1089709210474131,0.8059183673469387,0.7074489795918367
cassette_player_0040.npz,2,2,2,2,1,1,1,0.1253270251566283,0.09289143964704627,0.954663397960844,0.9780395685202661
cassette_player_0041.npz,2,2,2,2,1,1,1,0.13211675863077216,0.16912840537730975,0.7207142857142856,0.5420408163265306
cassette_player_0042.npz,2,2,2,2,1,1,1,0.0988301995464194,0.08870496863109724,0.7403061224489794,0.7827551020408162
cassette_player_0043.npz,2,2,2,2,1,1,1,0.10471250750440801,0.09380981870138651,0.8936734693877549,0.8951020408163265
cassette_player_0044.npz,2,2,2,2,1,1,1,0.09811565227906788,0.09810566921330505,0.8679591836734691,0.8149999999999998
cassette_player_0045.npz,2,2,2,2,1,1,1,0.10575847673571767,0.09284786032537763,0.8822448979591836,0.9032653061224489
cassette_player_0046.npz,2,2,2,2,1,1,1,0.12047216446565769,0.17587562994973466,0.9049999999999998,0.7951020408163264
cassette_player_0047.npz,2,2,2,2,1,1,1,0.12581206085707536,0.06885131577507994,0.8146938775510203,0.9583673469387753
cassette_player_0048.npz,2,2,2,2,1,1,1,0.0769246904964658,0.08235021365638838,0.9549999999999998,0.938265306122449
cassette_player_0049.npz,2,2,2,2,1,1,1,0.13946822691931296,0.07968383809688193,0.8466326530612244,0.965408163265306
cassette_player_0050.npz,2,2,2,2,1,1,1,0.11106826498977304,0.08644297144568035,0.8668367346938776,0.9024489795918367
cassette_player_0051.npz,2,2,2,2,1,1,1,0.05876162986583166,0.08555693403241754,0.953877551020408,0.9373469387755101
cassette_player_0052.npz,2,2,2,2,1,1,1,0.0922110617999585,0.10535152848519756,0.9282653061224488,0.927142857142857
