epoch,train_loss,train_acc,val_acc
1,0.212214,0.934734,0.956943
2,0.081770,0.973704,0.967898
3,0.059107,0.980463,0.965605
4,0.048346,0.983948,0.959236
5,0.033353,0.988383,0.972229
6,0.039385,0.987433,0.965605
7,0.023776,0.992924,0.973758
8,0.020886,0.993664,0.977834
9,0.017287,0.995142,0.975287
10,0.010580,0.997149,0.970191
11,0.009759,0.997465,0.977325
12,0.010394,0.996937,0.974268
13,0.008580,0.997465,0.977834
14,0.007534,0.997677,0.978089
15,0.005196,0.998416,0.978344
16,0.004155,0.999155,0.979108
17,0.004515,0.998521,0.978344
18,0.003900,0.998944,0.979108
19,0.003682,0.999050,0.980382
20,0.003275,0.999472,0.979108
21,0.002764,0.999366,0.980637
22,0.002386,0.999472,0.981146
23,0.003401,0.999261,0.982166
24,0.002139,0.999683,0.982166
25,0.002342,0.999578,0.981401
26,0.001887,0.999683,0.980892
27,0.002144,0.999578,0.981911
28,0.001863,0.999683,0.981146
29,0.002094,0.999789,0.982930
30,0.002068,0.999683,0.981656
