epoch,train_loss,train_acc,val_acc
1,0.222421,0.930827,0.968408
2,0.073434,0.975077,0.959236
3,0.057815,0.982575,0.971720
4,0.043021,0.987538,0.974268
5,0.032792,0.990284,0.973503
6,0.024551,0.992291,0.974777
7,0.025064,0.991974,0.971720
8,0.017300,0.994720,0.973503
9,0.016394,0.995459,0.976051
10,0.013579,0.996409,0.974777
11,0.013097,0.996198,0.980637
12,0.009153,0.997888,0.979873
13,0.006753,0.997888,0.979873
14,0.006200,0.998099,0.981401
15,0.004307,0.999155,0.981656
16,0.006614,0.998310,0.980637
17,0.003633,0.999261,0.981656
18,0.005077,0.998733,0.980382
19,0.004366,0.999050,0.981146
20,0.003499,0.999050,0.982930
21,0.002765,0.999472,0.981401
22,0.001949,0.999789,0.981911
23,0.003242,0.999366,0.981146
24,0.003214,0.998944,0.981401
25,0.001963,0.999578,0.983439
26,0.002029,0.999578,0.983694
27,0.002401,0.999366,0.982930
28,0.001487,0.999789,0.982166
29,0.001613,0.999789,0.981911
30,0.002189,0.999578,0.983185
