filename,true_label,teacher_pred,kd_pred,baseline_pred,teacher_correct,kd_correct,baseline_correct,js_teacher_kd,js_teacher_baseline,spearman_teacher_kd,spearman_teacher_baseline,ssim_teacher_kd,ssim_teacher_baseline
cassette_player_0001.npz,2,2,2,2,1,1,1,0.06462277692080684,0.08503113311406153,0.6303061224489795,0.4256122448979591,0.983782486112113,0.9726428578060664
cassette_player_0002.npz,2,2,2,2,1,1,1,0.07930390526349317,0.10821738843963816,0.8763265306122447,0.7673469387755102,0.978859652455326,0.9605071845652582
cassette_player_0003.npz,2,2,2,2,1,1,1,0.08374362194528673,0.14014286446975083,0.8387755102040816,0.5548979591836734,0.9778948438702169,0.9325122885930685
cassette_player_0004.npz,2,2,2,2,1,1,1,0.09227585149731085,0.10568885823289008,0.9575510204081632,0.9581632653061224,0.9770466328085441,0.9646494661014194
cassette_player_0005.npz,2,2,2,2,1,1,1,0.09330618366132087,0.09027222756697623,0.8320408163265306,0.8655102040816326,0.9762894131795373,0.9765715407492426
cassette_player_0006.npz,2,2,2,2,1,1,1,0.07730329177853874,0.13539897905491494,0.9108163265306121,0.7391836734693876,0.9838545550792203,0.9518794784772061
cassette_player_0007.npz,2,2,2,2,1,1,1,0.1315491486753835,0.09053534406581983,0.8666326530612245,0.9233673469387754,0.9538607227103412,0.984097283375979
cassette_player_0008.npz,2,2,2,2,1,1,1,0.0876348756735004,0.12394726978935561,0.9441836734693877,0.8742857142857142,0.9892830624476789,0.9590647358761176
cassette_player_0009.npz,2,2,2,2,1,1,1,0.06676594257262342,0.0826096878891128,0.8544897959183672,0.8626530612244897,0.9854146883215443,0.9798726955743656
cassette_player_0010.npz,2,2,2,2,1,1,1,0.08940787199466192,0.18789033363659852,0.8429591836734692,0.5695918367346938,0.9737349404412499,0.9106856483388341
cassette_player_0011.npz,2,2,2,2,1,1,1,0.1547305900085505,0.18674148955396866,0.8806846361036003,0.8046938775510203,0.9413112420075787,0.9124557587420321
cassette_player_0012.npz,2,2,7,7,1,0,0,0.23886023272154053,0.21226868997910378,0.6437867012341427,0.5668793244002265,0.8672337953957265,0.891527676414064
cassette_player_0013.npz,2,2,2,2,1,1,1,0.11960654565396214,0.10947002878998535,0.9077596974127987,0.9193882570914389,0.9765995034553349,0.9762836512232062
cassette_player_0014.npz,2,2,2,2,1,1,1,0.13270666271372505,0.13056883998269522,0.9062244897959182,0.9228492751391928,0.9674830718141103,0.9781347111965967
cassette_player_0015.npz,2,2,2,2,1,1,1,0.09265919783282456,0.1134786574228753,0.9228571428571427,0.8430612244897958,0.9733459706437076,0.9658422227533554
cassette_player_0016.npz,2,2,2,2,1,1,1,0.17624545877181336,0.21722183510881504,0.8170282439623412,0.7767424574925456,0.9204119481759045,0.9027576563028513
cassette_player_0017.npz,2,2,2,2,1,1,1,0.09742185876996645,0.10192263274565296,0.4641836734693877,0.4721428571428571,0.9692037425671256,0.9648085494616818
cassette_player_0018.npz,2,2,2,2,1,1,1,0.11981769023646836,0.1488409426574088,0.8324489795918366,0.8290816326530611,0.9598166350928313,0.9288761451502128
cassette_player_0019.npz,2,2,2,2,1,1,1,0.0810214171653067,0.08713876646827134,0.6845918367346937,0.6331632653061223,0.9790419712435696,0.9764234580825473
cassette_player_0020.npz,2,2,2,2,1,1,1,0.09754505498078986,0.09292148729105702,0.8320408163265306,0.8527258351202041,0.9677596017330936,0.9758166686809419
cassette_player_0021.npz,2,2,2,2,1,1,1,0.11649522705199009,0.11902972576900829,0.9140816326530612,0.8053061224489795,0.9656611241941319,0.9541720205426496
cassette_player_0022.npz,2,2,2,2,1,1,1,0.10713678946240275,0.12117544345278874,0.7433673469387754,0.7176530612244897,0.9592030355867155,0.9432277798042493
cassette_player_0023.npz,2,2,2,2,1,1,1,0.12031667219650037,0.09600054677292859,0.8872448979591836,0.9457142857142855,0.9604719905635234,0.9806397581026981
cassette_player_0024.npz,2,2,2,2,1,1,1,0.12347603348557726,0.11258383682090375,0.5152040816326531,0.5256122448979592,0.9502141676863433,0.9564806709996492
cassette_player_0025.npz,2,2,2,2,1,1,1,0.09398083284158674,0.13289015192153594,0.7305102040816325,0.7423469387755102,0.9711153884530633,0.9456473319014912
cassette_player_0026.npz,2,2,2,2,1,1,1,0.1300811312325643,0.16596168531347835,0.8833673469387754,0.8197959183673469,0.955942912805277,0.9188509762731596
cassette_player_0027.npz,2,2,2,2,1,1,1,0.1294281071977838,0.1587071743658205,0.7276530612244898,0.590204081632653,0.960853155631525,0.9389003683591188
cassette_player_0028.npz,2,2,2,2,1,1,1,0.08209518776072955,0.10650384725935966,0.9815306122448978,0.9601020408163264,0.9871965530923207,0.9779229411977751
cassette_player_0029.npz,2,2,2,2,1,1,1,0.13112689374944558,0.11906335706921596,0.6137755102040816,0.6987755102040816,0.9451186123402479,0.9579882146646779
cassette_player_0030.npz,2,2,2,2,1,1,1,0.17969679432192792,0.24696401084827144,0.4672448979591836,0.08132653061224489,0.8919907101323812,0.8158757015278677
cassette_player_0031.npz,2,2,2,2,1,1,1,0.11088369613337942,0.10708923800519737,0.898877551020408,0.9334693877551019,0.9625135500776005,0.9704842062897352
cassette_player_0032.npz,2,2,2,2,1,1,1,0.08188032027263648,0.11470797704718698,0.9363265306122448,0.9012244897959184,0.9840298749404619,0.9703548887420067
