epoch,train_loss_total,train_loss_kd,train_loss_hard,train_acc,val_acc
1,1.376584,1.855347,0.259470,0.920266,0.957707
2,0.618896,0.845419,0.090341,0.971908,0.960255
3,0.484139,0.662870,0.067098,0.978984,0.964841
4,0.397291,0.548449,0.044589,0.987538,0.976815
5,0.352956,0.487881,0.038129,0.988489,0.974522
6,0.321404,0.443367,0.036824,0.988911,0.976051
7,0.286266,0.396904,0.028111,0.992819,0.976815
8,0.252291,0.351350,0.021153,0.994720,0.977580
9,0.259088,0.360916,0.021489,0.994508,0.979108
10,0.229342,0.318560,0.021167,0.994297,0.977325
11,0.221620,0.307279,0.021749,0.993980,0.978344
12,0.203071,0.281798,0.019375,0.995670,0.978854
13,0.190578,0.264473,0.018156,0.996515,0.981401
14,0.178506,0.247578,0.017340,0.995776,0.980127
15,0.170532,0.236683,0.016180,0.995776,0.980382
16,0.169099,0.234502,0.016491,0.996832,0.981911
17,0.163061,0.226863,0.014189,0.997677,0.982675
18,0.154987,0.213903,0.017516,0.996304,0.983185
19,0.148182,0.204901,0.015836,0.996515,0.982930
20,0.146978,0.203906,0.014145,0.997465,0.983185
21,0.138816,0.192516,0.013516,0.997677,0.983439
22,0.131541,0.182645,0.012298,0.997993,0.981911
23,0.135690,0.187638,0.014477,0.997571,0.983694
24,0.130472,0.180855,0.012914,0.997782,0.983439
25,0.128526,0.178356,0.012256,0.997782,0.982420
26,0.126465,0.174464,0.014465,0.997043,0.983185
27,0.123988,0.171594,0.012909,0.997043,0.983439
28,0.120657,0.166788,0.013020,0.997782,0.982420
29,0.119508,0.165366,0.012505,0.997782,0.982930
30,0.124749,0.172387,0.013594,0.997254,0.983439
